    4     3   1.000000 0.000000 0.000000  A -1.150925
    5     2   1.000000 0.171459 0.000000  A -1.166007
    7     5   1.000000 0.135613 -0.000000  P 0.000000
    7     6   1.000000 0.140421 136518552642891806868282277888.000000  A -1.931533
    9     8   1.000000 -0.169755 -0.000000  A -1.995762
   10     1   1.000000 0.135613 -0.000000  A -3.238291
