move = 5
Unsmoothed 5.785 6.227 6.322
Smoothed1x 5.201 5.583 5.609
Smoothed2x 4.875 5.218 5.200

Unsmoothed 11.230 11.274 10.68
Smoothed1x 10.548 10.608 9.959
Smoothed2x 10.053 10.122 9.454

