RF00010 347 3147 3002 300 91 30 56 5 0 114 95 114 106 117 128
RF00017 127 12763 9178 159 36 12 18 1 5 42 36 42 31 65 103
RF00028 246 3290 3290 269 66 28 26 10 2 82 61 82 43 64 97
RF00050 112 4382 4382 150 32 6 21 4 1 32 23 32 31 35 38
RF00059 77 1495 1480 107 24 10 12 1 1 18 20 18 25 31 39
RF00162 94 4906 4891 127 31 6 19 6 0 26 26 26 26 30 33
RF00167 67 2590 2590 93 21 3 17 1 0 18 19 18 19 20 22
RF00168 174 2900 2866 240 48 5 40 3 0 56 57 56 45 51 59
RF00174 210 4893 4600 246 57 27 26 4 0 67 66 67 51 56 58
RF00234 141 983 959 197 40 11 21 7 1 45 24 45 30 35 38
RF00380 161 1500 1495 232 45 6 34 4 1 52 55 52 27 32 43
RF01051 92 2232 2196 112 27 19 7 1 0 24 24 24 26 31 36
RF01831 101 611 608 145 30 4 23 3 0 36 27 36 27 29 30
