0   0.1660   0.0840   0.080

1   0.1041   0.0561   0.050

2   0.0952   0.0532   0.044

0   3.9370   5.2280   3.553

1   3.4041   4.7301   3.034

2   3.1982   4.5152   2.811

0   5.8700   5.9440   4.385

1   5.3641   5.4451   3.774

2   5.1302   5.2182   3.501

0   7.5610   7.4870   5.144

1   7.0851   6.9831   4.589

2   6.8362   6.7292   4.334

0   8.7450   8.8400   5.380

1   8.2621   8.3641   4.782

2   7.9962   8.1072   4.492

0   9.2310   9.7280   5.780

1   8.7591   9.1771   5.222

2   8.4922   8.8412   4.939

